 3551;CAMILLO FERRARI S/A - INDUSTRIA E COMERCIO      ;NENHUM              ;SP003;51467454000370;ESTRADA TAMBAU A MOCOCA KM 05           ;TERRA VERMELHA      ;13710000;TAMBAU              ;SP;CAMILLO FERRARI S/A - INDUSTRIA E COMERCIO      ;01936731851;
 5232;CANAPOLIS ACUCAR E ETANOL S.A.                  ;NENHUM              ;MG002;28144326000101;ROD BR 365 S/N KM 734                   ;ZONA RURAL          ;38380000;CANAPOLIS           ;MG;CANAPOLIS ACUCAR E ETANOL S.A.                  ;03432287300;
 3601;CAPUAVA S/A INDUSTRIA E COMERCIO                ;NENHUM              ;SP001;54362447000130;ROD.SP 127 KM 21                        ;VILA NOVA           ;13400000;PIRACICABA          ;SP;CAPUAVA S/A INDUSTRIA E COMERCIO                ;01934213035;
 4927;CARLOS ROBERTO DOS ANJOS                        ;NENHUM              ;MG001;67935192634   ;RUA: CARLOS ALBERTO, 325                ;SINIMBU             ;31530560;BELO HORIZONTE      ;MG;CARLOS ROBERTO DOS ANJOS                        ;03187591689;
 5107;CEARA MIRIM AGROINDUSTRIAL S.A.                 ;NENHUM              ;NE002;20809373000115;FAZ LIMOEIRO S/N Z.RURAL-MAXARANGUAPE   ;ZONA RURAL          ;59570000;CEARA-MIRIM         ;RN;CEARA MIRIM                                     ;08540058889;
 2775;CENTRAL ACUCAREIRA SANTO ANTONIO S/A            ;NENHUM              ;NE003;12718011000190;USINA SANTO ANTONIO S/N                 ;ZONA RURAL          ;57920000;SAO LUIS DO QUITUNDE;AL;SANTO ANTONIO - AL                              ;08232541106;
 2484;CENTRAL ACUCAREIRA USINA SANTA MARIA S/A        ;NENHUM              ;NE003;05158542000100;FAZENDA ENGENHO NOVO                    ;ZONA RURAL          ;57900000;PORTO CALVO         ;AL;SANTA MARIA                                     ;08232926515;
 3481;CENTRAL EN.MORENO MONTE APRAZIVEL AC.ALCOOL LTDA;MORENO              ;SP009;04171382000177;ROD. JOAO PEDRO REZENDE KM 10,1         ;ZONA RURAL          ;15150000;MONTE APRAZIVEL     ;SP;NOVA MORENO                                     ;01732759000;
   30;CENTRAL ENERGETICA MORENO ACUCAR E ALCOOL LTDA  ;MORENO              ;SP009;45765914000181;ROD SP 253 - KM 160                     ;ZONA RURAL          ;14210000;LUIS ANTONIO        ;SP;MORENO                                          ;01639839900;
 4874;CENTRAL ENERGETICA MORRINHOS S/A                ;COLORADO            ;GO002;07130855000186;ROD BR 153 S/N KM 646 ESQ SEGUE + 800MT ;ZONA RURAL          ;75650000;MORRINHOS           ;GO;CENTRAL MORRINHOS                               ;01638203099;
   36;CENTRAL ENERGETICA VALE DO SAPUCAI LTDA         ;NENHUM              ;SP010;00372496000124;ESTRADA DO MAROLO KM 25                 ;CHAGAS              ;14415970;PATROCINIO PAULISTA ;SP;CEVASA                                          ;01631459300;
 4959;CENTRAL ENERGETICA VICENTINA LTDA               ;NENHUM              ;MS003;07863768000138;FAZENDA DOIS CORREGOS LT.43 QD.20       ;ZONA RURAL          ;79710000;VICENTINA           ;MS;VICENTINA                                       ;06734674717;
 4939;CENTRO AUTOMOTIVO KODATO                        ;NENHUM              ;MG001;13251775000181;AV. SANTA ROSA 276                      ;SAO LUIZ            ;31270750;BELO HORIZONTE      ;MG;CENTRO AUTOMOTIVO KODATO                        ;03134524395;
 3056;CENTROALCOOL S/A                                ;NENHUM              ;GO002;02896264000109;RODOVIA GO 222 KM 03                    ;ZONA RURAL          ;75400000;INHUMAS             ;GO;CENASA                                          ;06235148303;
